Designator,Footprint,Quantity,Value,LCSC Part #
C2,0603,1,4u7,C19666
"C3, C4",0603,2,10u,C19702
"C5, C6",0603,2,1u,C15849
C7,0603,1,100n,C14663
D2,0603,1,LED_Small,C2286
F1,1206,1,Fuse_Small,C151162
FB2,0402,1,FerriteBead_Small,C160976
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948
J3,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,Conn_01x02_MountingPin,C295747
J4,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,C5116479
"R1, R2",0603,2,5k1,C23186
R3,0603,1,1k5,C22843
R4,0603,1,5k,C23186
R5,0603,1,806k,C403362
R6,0603,1,2M,C4077045
SW1,SW_SPDT_PCM12,1,SW_SPDT,C221841
SW2,TS-1088R-02526,1,RST,C720477
"SW3, SW4, SW5, SW6, SW7, SW8",SW_choc_v1_HS_CPG135001S30_1u,6,Kailh_Choc,
U1,nRF52840_holyiot_18010,1,nRF52840_holyiot_18010,
U2,SOT-23-6,1,SRV05-4,C316033
U3,SOP-8-1EP_4.57x4.57mm_P1.27mm_EP4.57x4.45mm,1,TP4056,C16581
U4,SOT-23-3,1,XC6206PxxxMR,C5446
